problem,ab_closed,ab_nodes,ab_expansions,ab_betas,ab_depth_max,ab_branches_closed,ab_branches_open,ab_time_ms,s_closed,s_nodes,s_expansions,s_betas,s_depth_max,s_branches_closed,s_branches_open,s_time_ms,node_ratio_ab_over_s,exp_ratio_ab_over_s
pel01,1,13,5,3,6,4,0,0.191,1,13,5,3,6,4,0,0.122,1.000,1.000
pel02,1,7,3,1,4,2,0,0.042,1,7,3,1,4,2,0,0.041,1.000,1.000
pel03,1,8,4,0,8,1,0,0.032,1,8,4,0,8,1,0,0.044,1.000,1.000
pel04,1,13,5,3,6,4,0,0.062,1,13,5,3,6,4,0,0.082,1.000,1.000
pel05,1,12,6,2,9,3,0,0.067,1,14,7,2,9,3,0,0.097,0.857,0.857
pel06,1,3,1,0,3,1,0,0.012,1,3,1,0,3,1,0,0.011,1.000,1.000
pel07,1,5,3,0,5,1,0,0.019,1,5,3,0,5,1,0,0.023,1.000,1.000
pel08,1,7,3,1,6,2,0,0.030,1,7,3,1,6,2,0,0.034,1.000,1.000
pel09,1,22,12,8,11,9,0,0.252,1,22,12,8,11,9,0,0.191,1.000,1.000
pel10,1,27,11,9,10,10,0,0.187,1,22,9,7,9,8,0,0.190,1.227,1.222
pel11,1,5,1,1,3,2,0,0.018,1,5,1,1,3,2,0,0.017,1.000,1.000
pel12,1,69,23,23,9,24,0,0.453,1,69,23,23,9,24,0,0.467,1.000,1.000
pel13,1,33,15,8,10,9,0,0.161,1,31,14,7,10,8,0,0.253,1.065,1.071
pel14,1,32,14,9,9,10,0,0.161,1,32,14,9,9,10,0,0.237,1.000,1.000
pel15,1,13,5,3,6,4,0,0.057,1,13,5,3,6,4,0,0.078,1.000,1.000
pel16,1,7,3,0,7,1,0,0.025,1,7,3,0,7,1,0,0.028,1.000,1.000
pel17,1,49,23,12,14,13,0,0.296,1,47,22,11,14,12,0,0.388,1.043,1.045
pel01_b1,1,15,7,3,7,4,0,0.093,1,18,9,4,8,5,0,0.223,0.833,0.778
pel02_b1,1,11,6,1,7,2,0,0.063,1,11,6,1,7,2,0,0.128,1.000,1.000
pel03_b1,1,8,4,0,8,1,0,0.046,1,8,4,0,8,1,0,0.076,1.000,1.000
pel04_b1,1,19,9,3,9,4,0,0.131,1,17,8,3,9,4,0,0.208,1.118,1.125
pel05_b1,1,17,9,3,12,4,0,0.115,1,20,10,3,12,4,0,0.262,0.850,0.900
pel06_b1,1,6,3,0,6,1,0,0.035,1,6,3,0,6,1,0,0.093,1.000,1.000
pel07_b1,1,8,5,0,8,1,0,0.047,1,8,5,0,8,1,0,0.082,1.000,1.000
pel08_b1,1,9,4,1,8,2,0,0.056,1,9,4,1,8,2,0,0.088,1.000,1.000
pel09_b1,1,28,17,8,14,9,0,0.233,1,26,16,8,12,9,0,0.414,1.077,1.062
pel10_b1,1,29,12,9,10,10,0,0.193,1,24,10,7,10,8,0,0.362,1.208,1.200
pel11_b1,1,5,1,1,3,2,0,0.030,1,5,1,1,3,2,0,0.026,1.000,1.000
pel12_b1,1,101,39,31,12,32,0,0.667,1,90,34,30,13,31,0,1.002,1.122,1.147
pel13_b1,1,35,16,8,12,9,0,0.214,1,33,15,7,12,8,0,0.549,1.061,1.067
pel14_b1,1,38,19,9,11,10,0,0.318,1,46,24,12,11,13,0,0.817,0.826,0.792
pel15_b1,1,15,7,3,7,4,0,0.091,1,18,9,4,8,5,0,0.206,0.833,0.778
pel16_b1,1,7,3,0,7,1,0,0.054,1,7,3,0,7,1,0,0.053,1.000,1.000
pel17_b1,1,65,35,13,19,14,0,0.514,1,75,41,18,19,19,0,1.215,0.867,0.854
pel01_b2,1,17,9,3,8,4,0,0.109,1,32,18,7,11,8,0,0.504,0.531,0.500
pel02_b2,1,11,6,1,7,2,0,0.059,1,11,6,1,7,2,0,0.088,1.000,1.000
pel03_b2,1,8,4,0,8,1,0,0.051,1,8,4,0,8,1,0,0.099,1.000,1.000
pel04_b2,1,21,11,3,10,4,0,0.126,1,21,12,3,10,4,0,0.322,1.000,0.917
pel05_b2,1,27,15,9,15,10,0,0.221,1,18,9,2,11,3,0,0.252,1.500,1.667
pel06_b2,1,6,3,0,6,1,0,0.030,1,6,3,0,6,1,0,0.029,1.000,1.000
pel07_b2,1,8,5,0,8,1,0,0.042,1,8,5,0,8,1,0,0.063,1.000,1.000
pel08_b2,1,9,4,1,8,2,0,0.081,1,9,4,1,8,2,0,0.086,1.000,1.000
pel09_b2,1,30,19,8,15,9,0,0.263,1,43,28,13,17,14,0,0.919,0.698,0.679
pel10_b2,1,37,16,11,12,12,0,0.251,1,24,10,7,10,8,0,0.482,1.542,1.600
pel11_b2,1,5,1,1,3,2,0,0.039,1,5,1,1,3,2,0,0.028,1.000,1.000
pel12_b2,1,109,45,29,14,30,0,0.761,1,91,34,28,12,29,0,1.188,1.198,1.324
pel13_b2,1,39,18,8,14,9,0,0.245,1,31,14,7,10,8,0,0.521,1.258,1.286
pel14_b2,1,45,24,9,14,10,0,0.332,1,59,34,14,15,15,0,1.038,0.763,0.706
pel15_b2,1,15,7,3,7,4,0,0.101,1,18,9,4,8,5,0,0.244,0.833,0.778
pel16_b2,1,7,3,0,7,1,0,0.041,1,7,3,0,7,1,0,0.060,1.000,1.000
pel17_b2,1,55,27,9,16,10,0,0.381,1,96,51,25,19,26,0,1.654,0.573,0.529
pel01_b3,1,21,11,3,10,4,0,0.154,1,25,15,5,10,6,0,0.377,0.840,0.733
pel02_b3,1,11,6,1,7,2,0,0.082,1,11,6,1,7,2,0,0.102,1.000,1.000
pel03_b3,1,8,4,0,8,1,0,0.054,1,8,4,0,8,1,0,0.105,1.000,1.000
pel04_b3,1,17,8,1,10,2,0,0.113,1,23,13,3,10,4,0,0.357,0.739,0.615
pel05_b3,1,19,10,5,12,6,0,0.146,1,16,9,2,10,3,0,0.291,1.188,1.111
